	Feature	Importance
0	Hb_L_Gam	0.04231962909822023
1	Hep_R_Strength	0.03518590040060628
2	Hep_L_Gam	0.033380172801863214
3	Hep_R_Gam	0.0328927257076137
4	Hep_R_Cont	0.03271111556822607
5	Hgam_L_Gam	0.032494909740327926
6	H8_L_Cont	0.030797976567460247
7	Hdel_L_Strength	0.030585797500497648
8	Hdel_R_Gam	0.030569075886860777
9	Hb_L_Strength	0.030380813769391554
10	Hdel_L_Cont	0.030202309468865658
11	Hdel_L_Gam	0.029304111425323492
12	Hb_R_Gam	0.028104278719041625
13	Hgam_L_Strength	0.02755206125228295
14	Hdel_R_Cont	0.027169881798054612
15	Hdel_L_Avg	0.026981558817458486
16	Hgam_R_Gam	0.026571616600612392
17	Hdel_R_Strength	0.02569358971007812
18	Hep_L_Cont	0.024986421349241356
19	Hgam_L_Avg	0.024889664128024555
20	Hep_L_Strength	0.024578134125778854
21	Hgam_R_Strength	0.02433891746248402
22	H8_L_Strength	0.02418313109704823
23	Hb_R_Strength	0.024049417436439322
24	Hdel_R_Avg	0.021620253018027967
25	H8_L_Avg	0.02089740933491482
26	Hb_L_Cont	0.020844994162152446
27	H8_L_Gam	0.020496916666855176
28	Hgam_R_Cont	0.02013518322391115
29	Hgam_R_Avg	0.01977998139936608
30	Hep_R_Avg	0.019559376734419365
31	Hb_L_Avg	0.019444174207952226
32	H8_R_Avg	0.019383024791383544
33	H8_R_Cont	0.018620487979227177
34	Hgam_L_Cont	0.0177897727834898
35	Hb_R_Avg	0.017691584255906143
36	H8_R_Gam	0.01741776292808743
37	Hep_L_Avg	0.01688889790768713
38	H8_R_Strength	0.01511033311210463
39	Hb_R_Cont	0.014396637062713375
